code               ,area      ,cost        ,address                                                                                                                                                                                                                                  ,coordinates
28:10:132255:64    ,    993.0 ,  503535.66 ,"Амурская область, р-н Благовещенский, с Чигири, с/т   АОЗТ ""Чигиринское"""                                                                                                                                                             ,"[[[[50.33429977282507, 127.50027738345531]]]]"
28:10:132255:245   ,    705.0 ,  309395.32 ,"РФ, Амурская область, муниципальный район Благовещенский, сельское поселение Чигиринский сельсовет, село Чигири, переулок Вольный, земельный участок 1"                                                                                 ,"[[[[50.332825479624795, 127.49875197729381]]]]"
28:10:132255:109   ,    799.0 ,  404448.9  ,"Амурская область, р-н Благовещенский, с Чигири, с/т АОЗТ ""Чигиринское"""                                                                                                                                                               ,"[[[[50.335964004517855, 127.49902379841515]]]]"
28:10:132053:70    ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:132043:216   ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:132001:32    ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:132001:21    ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:131046:901   ,     22.0 ,   42733.72 ,"Амурская область, р-н Благовещенский, с Чигири"                                                                                                                                                                                         ,"[[[[50.327932722006054, 127.50714408654308]]]]"
28:10:131046:70    ,   1500.0 ,  765745.12 ,"Амурская область, р-н Благовещенский, с Чигири, мкр 4-й"                                                                                                                                                                                ,"[[[[50.32902215506448, 127.50913994401141]]]]"
28:10:131046:66    ,   1500.0 ,  765018.77 ,"Амурская область, р-н Благовещенский, с Чигири, мкр 4-й"                                                                                                                                                                                ,"[[[[50.33028612714296, 127.50992904371819]]]]"
28:10:131046:615   ,    826.0 ,  422135.59 ,"Амурская область, р-н Благовещенский, с Чигири"                                                                                                                                                                                         ,"[[[[50.328536324055456, 127.51278738585904]]]]"
28:10:131046:44    ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:131044:278   ,    602.0 ,  305859.84 ,"Амурская область, муниципальный округ Благовещенский, село Чигири"                                                                                                                                                                      ,"[[[[50.33381104155553, 127.50720139086913]]]]"
28:10:131044:259   ,    750.0 ,  379587.07 ,"Амурская обл., Благовещенский р-н., с. Чигири"                                                                                                                                                                                          ,"[[[[50.33725031859735, 127.50294105024928]]]]"
28:10:131040:545   ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:131040:50    ,   1352.0 ,  680003.84 ,"Амурская область, р-н Благовещенский, с Чигири, земельный участок расположен в юго-западной части кадастрового квартала, граница которого проходит по контуру квартала 40"                                                              ,"[[[[50.341263344948764, 127.49153151267389]]]]"
28:10:131039:980   ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:131039:1847  ,    922.0 ,  469453.55 ,"Амурская область, Благовещенский р-н, с Чигири"                                                                                                                                                                                         ,"[[[[50.34008846641981, 127.52347548174377]]]]"
28:10:131039:1805  ,    685.0 ,  347550.62 ,"Амурская обл., Благовещенский р-н., с. Чигири"                                                                                                                                                                                          ,"[[[[50.34501563509451, 127.51809111626996]]]]"
28:10:131039:1797  ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:131039:1697  ,    806.0 ,  409795.41 ,"Амурская обл., Благовещенский р-н., Чигиринский с/с, с. Чигири"                                                                                                                                                                         ,"[[[[50.342542807380575, 127.52141941378365]]]]"
28:10:131039:1524  ,    842.0 ,  390438.82 ,"РФ, Амурская область, муниципальный район Благовещенский, сельское поселение Чигиринский сельсовет, село Чигири, улица Первомайская, земельный участок 32"                                                                              ,"[[[[50.3365496997811, 127.52328713683953]]]]"
28:10:131039:1523  ,    842.0 ,  390437.21 ,"Амурская область, м.р-н Благовещенский, с.п. Чигиринский сельсовет, с Чигири, ул Первомайская, з/у 30"                                                                                                                                  ,"[[[[50.33640882507358, 127.52319863871377]]]]"
28:10:131039:150   ,   1136.0 ,  578507.96 ,"Амурская область, р-н Благовещенский, с Чигири"                                                                                                                                                                                         ,"[[[[50.33647732218928, 127.521581956178]]]]"
28:10:131039:1429  ,   2994.0 , 1521972.43 ,"Амурская область, р-н Благовещенский, с Чигири"                                                                                                                                                                                         ,"[[[[50.33851457536766, 127.51798331514834]]]]"
28:10:131039:1415  ,   1616.0 ,  822171.11 ,"Амурская область, р-н Благовещенский, с/с Чигиринский, с Чигири"                                                                                                                                                                        ,"[[[[50.343338279568556, 127.52351347866482]]]]"
28:10:131039:1385  ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:131039:1049  ,    287.0 ,  145849.66 ,"Амурская обл, р-н Благовещенский, с Чигири"                                                                                                                                                                                             ,"[[[[50.341575645137446, 127.51969525459835]]]]"
28:10:131038:65    ,   1487.0 ,  755819.01 ,"Амурская область, р-н Благовещенский, с Чигири, земельный участок расположен в восточной части кадастрового квартала, граница которого проходит по северной границе застройки - ул. Степной - ул. Солнечной (квартал 38)"               ,"[[[[50.347319925371885, 127.52432525750785]]]]"
28:10:131030:219   ,   1573.0 ,  793236.11 ,"земельный участок расположен в северной части кадастрового квартала, граница которого проходит по контуру квартала 30 с. Чигири (Амурская обл., Благовещенский р.)."                                                                    ,"[[[[50.33710681134441, 127.48832771345019]]]]"
28:10:131020:416   ,    138.0 ,   63484.5  ,"Амурская область, р-н Благовещенский, с Чигири"                                                                                                                                                                                         ,"[[[[50.339041482904655, 127.50542471157152]]]]"
28:10:131016:6     ,          ,            ,                                                                                                                                                                                                                                         ,[]
28:10:131016:229   ,    262.0 ,  133897.75 ,"Российская Федерация, Амурская обл., Благовещенский р-н, с Чигири, пер Речной, з/у 22"                                                                                                                                                  ,"[[[[50.32915271715417, 127.51623177480843]]]]"
